"PROCESSING_SCRIPT","PROCESS_UNIT_NAME","PROCESS_UNIT_LABEL","M_PROCESSS_UNIT_DESC","PROCESSING_SCRIPTDESC","PERIOD","SIDE","DAY","SHIFTER"
"BF_SIM_BOND_TRD     ","BF_SIM_BOND_TRD     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"BIM_CRIF_Export     ","                    ","REP_BATCHES_EXT     ","","CRIF File Export",1,0,7,"               "
"BIM_IM_EXPOSURE_LC  ","                    ","LIMITS LTS          ","","IM Exposure LC - COLLATERAl pattern",1,0,7,"               "
"BIM_IM_EXPOSURE_RC  ","                    ","REP_BATCHES_FEED    ","","Extraction of the IM exposure from MRA, to use for Collateral IM LC",1,0,7,"               "
"BIM_IM_Extraction   ","im_extract.csv      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BIM_VOL_PS          ","BIM_VOL_MERG_bf     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"BIM_VOL_PS          ","BIM_VOL_bf          ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"BN Balance          ","BE_BN_ALL_ACCBN     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BN CCY 2Y history   ","BE_BN_CCYHIS_2Y     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BN CCY 3M history   ","BE_BN_CCYHIS90D     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BN CCY by Region    ","BE_BN_LOCATION      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BN Revenue Vs Target","BE_BN_REV_VS_VL     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BN Today Vs Yestrday","BE_BN_TOD_YEST      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"BOND_ROLL_FO        ","                    ","MARKETDATA.MARKETQUO","","",1,0,7,"               "
"BOND_ROLL_PC        ","                    ","MARKETDATA.MARKETQUO","","Bond roll from T-1 to T",1,0,7,"               "
"BOR_MONITORING      ","                    ","BOR_MONITORING      ","","Monitoring inventory contribution for deals and payoff alignment",1,0,7,"               "
"BOR_REFRESH         ","                    ","ROF_BE_REFRESH      ","","Deal (BOR) flow refresh",1,0,7,"               "
"BOTOFO_DEALS        ","                    ","MxQNB61060          ","","BOTOFO Deals Generation for CA impact",1,0,7,"               "
"BO_DLV_FIX_DAT_SHIFT","                    ","PAY_FIX_WIN_SD      ","","Settlement and fixing windows date shift",1,0,7,"               "
"BO_DLV_FIX_EOD      ","                    ","PAY_FIX_WINDOW      ","","Settlement and Fixings Window",1,0,7,"               "
"BO_DLV_FIX_GEN_ES1  ","                    ","PAY_FIX_WIN_GEN     ","","Settlement and fixing generation ES1",1,0,7,"               "
"BO_DLV_FIX_GEN_ES2  ","                    ","PAY_FIX_WIN_GEN     ","","Settlement and fixing generation ES2",1,0,7,"               "
"BO_EOD              ","                    ","PROCESSING-EOD      ","","Back Office EOD",1,0,7,"               "
"BO_LIQ_ALIGN_ORCH   ","                    ","ALIGN_PROJ_ORCH_ENGI","","Align projections with orchestrator engines",1,0,7,"               "
"BO_LIQ_DATE_MOVE    ","                    ","ACCMNT_MV_DATE      ","","Move date for Liquidation",1,0,7,"               "
"BO_LIQ_DATE_MOVE_CE2","                    ","ACCMNT_MV_DATE      ","","Move date for Liquidation for CE2",1,0,7,"               "
"BO_LIQ_MAINT        ","                    ","ACCMNT_MAINT        ","","BO_LIQ_MAINTENANCE",1,0,7,"               "
"BO_LIQ_MAINTENANCE  ","                    ","ACCMNT_AUD_DP       ","","Accounting Inventories Maintenance - CE",1,0,7,"               "
"BO_LIQ_MAINTENANCE  ","                    ","ACCMNT_MAINT        ","","Accounting Inventories Maintenance - CE",1,0,7,"               "
"BO_LIQ_MAINT_CE2    ","                    ","ACCMNT_AUD_DP       ","","Accounting Inventories Maintenance - CE2",1,0,7,"               "
"BO_LIQ_MAINT_CE2    ","                    ","ACCMNT_MAINT        ","","Accounting Inventories Maintenance - CE2",1,0,7,"               "
"BO_LIQ_MAINT_CE2    ","                    ","ACCMNT_PURGE        ","","Accounting Inventories Maintenance - CE2",1,0,7,"               "
"Balance vs limit    ","BE_BN_CURVSLIM      ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"Banknotes limit     ","                    ","REP_BATCHES_EXT     ","","Limit report for Banknotes",1,0,7,"               "
"Borrowing Details   ","BE_BSBM_BORWING     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"CASHFUND_CATCHUP    ","                    ","PL.PREFUNDING       ","","Roll backdated Cash flows with financing to Today",1,0,7,"               "
"CASH_FUNDING_SN     ","                    ","CASH ROLL OVER      ","","Roll of FX residual flows to Spot/Next",1,0,7,"               "
"CASH_FUNDING_SN_FC  ","                    ","CASH ROLL OVER      ","","Roll of FX residual flows in Fund Ccy to Spot/Next",1,0,7,"               "
"CASH_FUNDING_SN_vs_B","                    ","CASH ROLL OVER      ","","Roll of FX residual flows to Spot/Next",1,0,7,"               "
"CASH_ROLLOVER       ","                    ","CASH ROLL OVER      ","","O/N Roll of Investment positions",1,0,7,"               "
"CASH_STLMNT         ","                    ","AUTO_CASH_SETTL     ","","Cash Settlement",1,0,7,"               "
"CA_AUTO_EXECUTION   ","                    ","MHtRn46485          ","","Script for CA automatic execution on Nostro side",1,0,7,"               "
"CA_AUTO_EXECUTION   ","                    ","MTpZo62416          ","","Script for CA automatic execution on Nostro side",1,0,7,"               "
"CA_GENERATION       ","                    ","MuBxr59796          ","","Automatic CA insertion for bonds depending on their schedule",1,0,7,"               "
"CA_GENERATION_INCEPT","                    ","MuBxr59796          ","","Automatic CA insertion for bonds depending on their schedule since inception",1,0,7,"               "
"CCY Bal. Vs. Limit  ","BE_BN_CURVSLIMD     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"COLLAT_BULK_EXPIRY  ","                    ","COLLAT_BULK_EXPIRY  ","","Collateral bulk expiry to terminate unclaimed margin calls and expected margin calls",1,0,7,"               "
"COLLAT_IM_RUN       ","                    ","COLLATERAL_RUN      ","","Inventory snapshot and Collateral run for IM CSA greements",1,0,7,"               "
"COLLAT_IM_RUN       ","                    ","INV_GEN_SNAPSHOT    ","","Inventory snapshot and Collateral run for IM CSA greements",1,0,7,"               "
